Problem	102 191 111 2683 131 9583 120 1333 2268 1496 168 2426 8391 2040 862 3879 2166 131 453 263 1381 1713 103
Result	102 256 165 817 198 111 4696 1247 111 1711 745 1381 3859 1798 4388 2320 30107 10839 453 121 111 2501 422 564 22626 7678 168 547 1836 121 2828 8391 422 300 195 4290 8137 205 103
Result	102 3954 4111 1017 1248 952 10643 165 2275 168 111 820 131 111 1839 2580 9583 120 7574 131 2487 17528 179 10982 5593 1423 711 205 103
Method	102 7236 1798 453 168 111 9583 120 1333 2268 131 2487 17528 179 10982 5593 1423 711 1151 214 111 551 131 745 8031 385 3643 5704 13278 145 14820 215 546 3859 145 504 205 2837 422 105 205 14619 4613 422 231 205 22155 228 137 106 205 115 205 1236 10876 422 261 205 1189 205 1197 205 422 7587 422 14919 422 1021 13054 546 220 501 168 106 3879 2029 190 3923 2354 10364 532 579 9098 19244 4845 145 5500 30110 546 137 10684 4536 145 23949 546 205 103
Method	102 111 1798 5500 30110 137 23949 10300 220 5030 214 12524 131 111 6164 17528 4620 159 145 139 546 781 7574 1151 263 14820 215 2354 190 111 6284 6589 4483 131 111 5500 30110 137 23949 1713 205 103
Result	102 111 1595 467 555 3853 137 111 1798 4483 220 21158 1542 147 699 579 9515 4954 131 5593 1423 711 1968 579 14328 121 111 5500 30110 137 23949 453 205 103
Result	102 3792 9276 28636 5733 4221 4111 165 5432 603 5593 1423 711 1352 10648 2704 7795 5269 131 111 1737 5500 30110 1352 23949 1713 220 3891 10055 168 121 111 14820 215 3853 205 103
Conclusion	102 111 2496 131 1968 579 14328 165 959 14176 3601 188 130 1060 1908 131 1913 121 867 147 111 804 579 1721 1167 131 6589 3498 10643 121 5500 30110 137 23949 1995 188 2991 3923 145 105 205 14619 4613 422 231 205 22155 228 422 231 205 144 2650 30113 137 106 205 115 205 1236 10876 422 261 205 1189 205 1197 205 422 4708 422 14357 422 1921 2356 546 205 103
Background	102 9583 120 1333 2268 145 18013 546 165 106 1519 624 121 106 1135 3835 131 2828 2426 1078 205 158 422 170 103
Background	102 121 1299 1967 18370 11795 234 2702 4649 422 18013 1975 2533 2100 111 1114 1975 131 111 2828 4649 121 111 564 579 2722 745 629 2241 7556 3859 137 2977 111 1607 131 111 3913 579 1874 1493 131 28940 2241 4899 235 1953 8185 205 103
Background	102 111 669 131 555 2241 3644 4649 234 111 21739 131 5807 1798 453 121 111 3913 579 1874 1493 3834 8408 629 137 597 2241 988 231 30131 137 231 30214 165 6109 2992 191 111 2525 131 804 1721 5681 6370 263 2397 1013 1983 205 239 422 286 103
Background	102 121 238 1139 422 18013 776 165 1574 617 121 111 592 131 106 1232 9583 2748 2318 1886 30116 205 103
