Background	102 922 131 568 190 1698 579 847 4547 10671 145 408 546 121 579 10671 2619 29899 129 145 165 30114 546 3492 106 1626 4949 205 103
Problem	102 238 527 2840 111 6935 4684 131 1698 579 847 4547 16496 30113 145 6304 546 137 1661 7780 12141 579 847 4547 22347 145 7098 30113 546 121 568 9093 190 408 579 165 30114 205 103
Method	102 111 527 899 131 238 19378 5460 1329 3303 3852 21809 131 7098 30113 168 111 1916 14420 422 121 579 3197 4665 14508 4381 235 111 5435 579 147 5435 579 1978 28087 589 579 692 205 103
Result	102 106 1114 131 5435 568 190 408 579 165 30114 263 5435 12998 1224 7775 267 5007 10811 147 6304 145 146 275 5435 546 234 7098 30113 145 146 275 5435 546 205 103
Result	102 235 4410 13894 145 4248 5435 1976 1814 5435 1863 131 11780 568 546 422 568 121 111 7098 30113 4998 883 106 1357 2331 4665 14508 4381 145 5435 5435 1100 2406 205 5435 5435 1100 1814 118 962 5435 546 145 5327 1108 1673 862 5435 1100 1814 5435 1863 2313 862 5435 147 5435 546 422 3657 14508 3571 145 5435 5435 1100 2406 205 5435 5435 1100 1814 118 962 5435 546 422 137 1268 2163 4381 12247 145 5435 5435 1863 2406 205 5435 5435 1863 1814 118 962 5435 546 137 5067 2619 29899 129 1013 145 5435 1863 2406 205 5435 1863 1814 118 275 5435 546 422 1031 190 568 121 111 6304 4998 205 103
Result	102 2478 545 267 1058 121 111 121 579 6253 669 205 103
Result	102 235 111 5435 579 996 1329 589 579 692 145 5435 1863 131 568 546 422 111 936 1329 3095 727 145 6622 131 4131 2889 422 6903 9619 422 137 1549 8554 20009 640 546 241 1357 1797 121 111 7098 30113 4998 145 5435 1863 2406 205 5435 1863 1814 118 275 5435 1814 9283 1857 862 5435 1814 5435 1863 2313 862 5435 147 5435 546 422 3680 6920 214 106 1268 965 168 1549 8554 20009 640 145 5435 1863 2406 205 5435 1863 1814 118 275 5435 546 205 103
Conclusion	102 121 568 190 408 579 165 30114 422 7098 30113 1966 5811 1113 579 902 1329 137 28087 545 1031 190 6304 205 103
Conclusion	102 145 2619 29899 129 4743 579 10671 131 1698 579 847 4547 22347 862 1698 579 847 4547 16496 2406 1661 7780 12141 579 847 4547 10671 579 6208 30125 579 5587 30113 2448 579 3102 30125 579 1814 26456 5435 546 205 103


